Web Search Interest: "smoking"
Australia; 2004 - present

Interest over time
Week,"smoking"
2005-05-29 - 2005-06-04,76
2005-06-05 - 2005-06-11,55
2005-06-12 - 2005-06-18,54
2005-06-19 - 2005-06-25,45
2005-06-26 - 2005-07-02,46
2005-07-03 - 2005-07-09,33
2005-07-10 - 2005-07-16,37
2005-07-17 - 2005-07-23,46
2005-07-24 - 2005-07-30,46
2005-07-31 - 2005-08-06,53
2005-08-07 - 2005-08-13,57
2005-08-14 - 2005-08-20,58
2005-08-21 - 2005-08-27,57
2005-08-28 - 2005-09-03,70
2005-09-04 - 2005-09-10,59
2005-09-11 - 2005-09-17,54
2005-09-18 - 2005-09-24,49
2005-09-25 - 2005-10-01,41
2005-10-02 - 2005-10-08,40
2005-10-09 - 2005-10-15,50
2005-10-16 - 2005-10-22,59
2005-10-23 - 2005-10-29,54
2005-10-30 - 2005-11-05,45
2005-11-06 - 2005-11-12,55
2005-11-13 - 2005-11-19,44
2005-11-20 - 2005-11-26,40
2005-11-27 - 2005-12-03,36
2005-12-04 - 2005-12-10,36
2005-12-11 - 2005-12-17,20
2005-12-18 - 2005-12-24,23
2005-12-25 - 2005-12-31,24
2006-01-01 - 2006-01-07,45
2006-01-08 - 2006-01-14,31
2006-01-15 - 2006-01-21,27
2006-01-22 - 2006-01-28,27
2006-01-29 - 2006-02-04,31
2006-02-05 - 2006-02-11,36
2006-02-12 - 2006-02-18,39
2006-02-19 - 2006-02-25,45
2006-02-26 - 2006-03-04,56
2006-03-05 - 2006-03-11,46
2006-03-12 - 2006-03-18,44
2006-03-19 - 2006-03-25,47
2006-03-26 - 2006-04-01,52
2006-04-02 - 2006-04-08,40
2006-04-09 - 2006-04-15,42
2006-04-16 - 2006-04-22,33
2006-04-23 - 2006-04-29,40
2006-04-30 - 2006-05-06,48
2006-05-07 - 2006-05-13,49
2006-05-14 - 2006-05-20,58
2006-05-21 - 2006-05-27,65
2006-05-28 - 2006-06-03,72
2006-06-04 - 2006-06-10,59
2006-06-11 - 2006-06-17,46
2006-06-18 - 2006-06-24,51
2006-06-25 - 2006-07-01,42
2006-07-02 - 2006-07-08,46
2006-07-09 - 2006-07-15,42
2006-07-16 - 2006-07-22,36
2006-07-23 - 2006-07-29,56
2006-07-30 - 2006-08-05,50
2006-08-06 - 2006-08-12,49
2006-08-13 - 2006-08-19,51
2006-08-20 - 2006-08-26,49
2006-08-27 - 2006-09-02,49
2006-09-03 - 2006-09-09,48
2006-09-10 - 2006-09-16,49
2006-09-17 - 2006-09-23,46
2006-09-24 - 2006-09-30,38
2006-10-01 - 2006-10-07,35
2006-10-08 - 2006-10-14,34
2006-10-15 - 2006-10-21,35
2006-10-22 - 2006-10-28,42
2006-10-29 - 2006-11-04,43
2006-11-05 - 2006-11-11,41
2006-11-12 - 2006-11-18,37
2006-11-19 - 2006-11-25,33
2006-11-26 - 2006-12-02,33
2006-12-03 - 2006-12-09,22
2006-12-10 - 2006-12-16,23
2006-12-17 - 2006-12-23,14
2006-12-24 - 2006-12-30,20
2006-12-31 - 2007-01-06,30
2007-01-07 - 2007-01-13,27
2007-01-14 - 2007-01-20,24
2007-01-21 - 2007-01-27,21
2007-01-28 - 2007-02-03,24
2007-02-04 - 2007-02-10,29
2007-02-11 - 2007-02-17,29
2007-02-18 - 2007-02-24,33
2007-02-25 - 2007-03-03,36
2007-03-04 - 2007-03-10,36
2007-03-11 - 2007-03-17,39
2007-03-18 - 2007-03-24,42
2007-03-25 - 2007-03-31,42
2007-04-01 - 2007-04-07,32
2007-04-08 - 2007-04-14,34
2007-04-15 - 2007-04-21,37
2007-04-22 - 2007-04-28,32
2007-04-29 - 2007-05-05,41
2007-05-06 - 2007-05-12,45
2007-05-13 - 2007-05-19,39
2007-05-20 - 2007-05-26,42
2007-05-27 - 2007-06-02,56
2007-06-03 - 2007-06-09,41
2007-06-10 - 2007-06-16,42
2007-06-17 - 2007-06-23,33
2007-06-24 - 2007-06-30,36
2007-07-01 - 2007-07-07,33
2007-07-08 - 2007-07-14,30
2007-07-15 - 2007-07-21,29
2007-07-22 - 2007-07-28,32
2007-07-29 - 2007-08-04,31
2007-08-05 - 2007-08-11,40
2007-08-12 - 2007-08-18,43
2007-08-19 - 2007-08-25,43
2007-08-26 - 2007-09-01,48
2007-09-02 - 2007-09-08,52
2007-09-09 - 2007-09-15,44
2007-09-16 - 2007-09-22,37
2007-09-23 - 2007-09-29,31
2007-09-30 - 2007-10-06,27
2007-10-07 - 2007-10-13,32
2007-10-14 - 2007-10-20,40
2007-10-21 - 2007-10-27,42
2007-10-28 - 2007-11-03,43
2007-11-04 - 2007-11-10,44
2007-11-11 - 2007-11-17,40
2007-11-18 - 2007-11-24,37
2007-11-25 - 2007-12-01,33
2007-12-02 - 2007-12-08,26
2007-12-09 - 2007-12-15,22
2007-12-16 - 2007-12-22,25
2007-12-23 - 2007-12-29,15
2007-12-30 - 2008-01-05,31
2008-01-06 - 2008-01-12,29
2008-01-13 - 2008-01-19,27
2008-01-20 - 2008-01-26,24
2008-01-27 - 2008-02-02,26
2008-02-03 - 2008-02-09,26
2008-02-10 - 2008-02-16,27
2008-02-17 - 2008-02-23,29
2008-02-24 - 2008-03-01,36
2008-03-02 - 2008-03-08,39
2008-03-09 - 2008-03-15,38
2008-03-16 - 2008-03-22,35
2008-03-23 - 2008-03-29,34
2008-03-30 - 2008-04-05,35
2008-04-06 - 2008-04-12,33
2008-04-13 - 2008-04-19,34
2008-04-20 - 2008-04-26,33
2008-04-27 - 2008-05-03,35
2008-05-04 - 2008-05-10,40
2008-05-11 - 2008-05-17,41
2008-05-18 - 2008-05-24,43
2008-05-25 - 2008-05-31,49
2008-06-01 - 2008-06-07,36
2008-06-08 - 2008-06-14,39
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,33
2008-06-29 - 2008-07-05,27
2008-07-06 - 2008-07-12,22
2008-07-13 - 2008-07-19,24
2008-07-20 - 2008-07-26,32
2008-07-27 - 2008-08-02,34
2008-08-03 - 2008-08-09,38
2008-08-10 - 2008-08-16,35
2008-08-17 - 2008-08-23,37
2008-08-24 - 2008-08-30,41
2008-08-31 - 2008-09-06,48
2008-09-07 - 2008-09-13,45
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,30
2008-09-28 - 2008-10-04,26
2008-10-05 - 2008-10-11,35
2008-10-12 - 2008-10-18,38
2008-10-19 - 2008-10-25,35
2008-10-26 - 2008-11-01,35
2008-11-02 - 2008-11-08,36
2008-11-09 - 2008-11-15,37
2008-11-16 - 2008-11-22,34
2008-11-23 - 2008-11-29,33
2008-11-30 - 2008-12-06,24
2008-12-07 - 2008-12-13,19
2008-12-14 - 2008-12-20,17
2008-12-21 - 2008-12-27,17
2008-12-28 - 2009-01-03,25
2009-01-04 - 2009-01-10,23
2009-01-11 - 2009-01-17,21
2009-01-18 - 2009-01-24,21
2009-01-25 - 2009-01-31,21
2009-02-01 - 2009-02-07,25
2009-02-08 - 2009-02-14,23
2009-02-15 - 2009-02-21,28
2009-02-22 - 2009-02-28,27
2009-03-01 - 2009-03-07,34
2009-03-08 - 2009-03-14,33
2009-03-15 - 2009-03-21,33
2009-03-22 - 2009-03-28,34
2009-03-29 - 2009-04-04,36
2009-04-05 - 2009-04-11,29
2009-04-12 - 2009-04-18,24
2009-04-19 - 2009-04-25,32
2009-04-26 - 2009-05-02,32
2009-05-03 - 2009-05-09,36
2009-05-10 - 2009-05-16,33
2009-05-17 - 2009-05-23,36
2009-05-24 - 2009-05-30,39
2009-05-31 - 2009-06-06,36
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,30
2009-06-28 - 2009-07-04,27
2009-07-05 - 2009-07-11,27
2009-07-12 - 2009-07-18,27
2009-07-19 - 2009-07-25,29
2009-07-26 - 2009-08-01,35
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,36
2009-08-16 - 2009-08-22,34
2009-08-23 - 2009-08-29,37
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,37
2009-09-13 - 2009-09-19,38
2009-09-20 - 2009-09-26,32
2009-09-27 - 2009-10-03,28
2009-10-04 - 2009-10-10,26
2009-10-11 - 2009-10-17,28
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,35
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,30
2009-11-15 - 2009-11-21,31
2009-11-22 - 2009-11-28,30
2009-11-29 - 2009-12-05,22
2009-12-06 - 2009-12-12,23
2009-12-13 - 2009-12-19,18
2009-12-20 - 2009-12-26,17
2009-12-27 - 2010-01-02,19
2010-01-03 - 2010-01-09,25
2010-01-10 - 2010-01-16,26
2010-01-17 - 2010-01-23,25
2010-01-24 - 2010-01-30,21
2010-01-31 - 2010-02-06,30
2010-02-07 - 2010-02-13,26
2010-02-14 - 2010-02-20,28
2010-02-21 - 2010-02-27,31
2010-02-28 - 2010-03-06,31
2010-03-07 - 2010-03-13,32
2010-03-14 - 2010-03-20,34
2010-03-21 - 2010-03-27,33
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,24
2010-04-11 - 2010-04-17,31
2010-04-18 - 2010-04-24,35
2010-04-25 - 2010-05-01,40
2010-05-02 - 2010-05-08,45
2010-05-09 - 2010-05-15,41
2010-05-16 - 2010-05-22,39
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,41
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,32
2010-06-27 - 2010-07-03,25
2010-07-04 - 2010-07-10,23
2010-07-11 - 2010-07-17,26
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,30
2010-08-01 - 2010-08-07,38
2010-08-08 - 2010-08-14,32
2010-08-15 - 2010-08-21,34
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,37
2010-09-12 - 2010-09-18,34
2010-09-19 - 2010-09-25,29
2010-09-26 - 2010-10-02,25
2010-10-03 - 2010-10-09,28
2010-10-10 - 2010-10-16,35
2010-10-17 - 2010-10-23,34
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,34
2010-11-14 - 2010-11-20,33
2010-11-21 - 2010-11-27,26
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,34
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,29
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,23
2011-01-23 - 2011-01-29,24
2011-01-30 - 2011-02-05,26
2011-02-06 - 2011-02-12,27
2011-02-13 - 2011-02-19,28
2011-02-20 - 2011-02-26,27
2011-02-27 - 2011-03-05,30
2011-03-06 - 2011-03-12,34
2011-03-13 - 2011-03-19,33
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,35
2011-04-03 - 2011-04-09,33
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,28
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,37
2011-05-08 - 2011-05-14,31
2011-05-15 - 2011-05-21,33
2011-05-22 - 2011-05-28,36
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,32
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,31
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,27
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,26
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,29
2011-08-07 - 2011-08-13,30
2011-08-14 - 2011-08-20,30
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,35
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,31
2011-09-25 - 2011-10-01,26
2011-10-02 - 2011-10-08,28
2011-10-09 - 2011-10-15,29
2011-10-16 - 2011-10-22,28
2011-10-23 - 2011-10-29,29
2011-10-30 - 2011-11-05,29
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,26
2011-12-04 - 2011-12-10,23
2011-12-11 - 2011-12-17,23
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,24
2012-01-22 - 2012-01-28,24
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,26
2012-02-12 - 2012-02-18,26
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,31
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,30
2012-03-25 - 2012-03-31,30
2012-04-01 - 2012-04-07,27
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,32
2012-04-22 - 2012-04-28,28
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,32
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,35
2012-06-03 - 2012-06-09,32
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,28
2012-06-24 - 2012-06-30,27
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,32
2012-08-12 - 2012-08-18,35
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,36
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,37
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,29
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,31
2012-10-28 - 2012-11-03,31
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,30
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,30
2012-12-02 - 2012-12-08,27
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,98
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,28
2013-02-03 - 2013-02-09,47
2013-02-10 - 2013-02-16,32
2013-02-17 - 2013-02-23,29
2013-02-24 - 2013-03-02, 

Interest over time
Week,Health,"smoking"
2004-01-04 - 2004-01-10,+0%,+0%
2004-01-11 - 2004-01-17,+1%,-5%
2004-01-18 - 2004-01-24,+0%,-11%
2004-01-25 - 2004-01-31,+0%,-24%
2004-02-01 - 2004-02-07,+4%,-11%
2004-02-08 - 2004-02-14,+5%,+3%
2004-02-15 - 2004-02-21,+7%,+55%
2004-02-22 - 2004-02-28,+11%,+82%
2004-02-29 - 2004-03-06,+18%,+45%
2004-03-07 - 2004-03-13,+15%,+26%
2004-03-14 - 2004-03-20,+14%,+68%
2004-03-21 - 2004-03-27,+15%,+97%
2004-03-28 - 2004-04-03,+14%,+95%
2004-04-04 - 2004-04-10,+9%,+50%
2004-04-11 - 2004-04-17,+9%,+39%
2004-04-18 - 2004-04-24,+11%,+18%
2004-04-25 - 2004-05-01,+14%,+68%
2004-05-02 - 2004-05-08,+15%,+92%
2004-05-09 - 2004-05-15,+13%,+76%
2004-05-16 - 2004-05-22,+15%,+153%
2004-05-23 - 2004-05-29,+15%,+155%
2004-05-30 - 2004-06-05,+14%,+163%
2004-06-06 - 2004-06-12,+9%,+116%
2004-06-13 - 2004-06-19,+7%,+84%
2004-06-20 - 2004-06-26,+5%,+82%
2004-06-27 - 2004-07-03,+4%,+13%
2004-07-04 - 2004-07-10,+1%,+3%
2004-07-11 - 2004-07-17,+2%,+16%
2004-07-18 - 2004-07-24,+4%,+32%
2004-07-25 - 2004-07-31,+6%,+45%
2004-08-01 - 2004-08-07,+8%,+42%
2004-08-08 - 2004-08-14,+11%,+87%
2004-08-15 - 2004-08-21,+11%,+79%
2004-08-22 - 2004-08-28,+12%,+68%
2004-08-29 - 2004-09-04,+12%,+74%
2004-09-05 - 2004-09-11,+13%,+103%
2004-09-12 - 2004-09-18,+14%,+87%
2004-09-19 - 2004-09-25,+8%,+39%
2004-09-26 - 2004-10-02,+7%,+24%
2004-10-03 - 2004-10-09,+9%,+32%
2004-10-10 - 2004-10-16,+13%,+45%
2004-10-17 - 2004-10-23,+12%,+74%
2004-10-24 - 2004-10-30,+18%,+116%
2004-10-31 - 2004-11-06,+7%,+39%
2004-11-07 - 2004-11-13,+7%,+79%
2004-11-14 - 2004-11-20,+11%,+50%
2004-11-21 - 2004-11-27,+5%,+34%
2004-11-28 - 2004-12-04,+6%,+21%
2004-12-05 - 2004-12-11,-4%,+0%
2004-12-12 - 2004-12-18,-5%,-21%
2004-12-19 - 2004-12-25,-13%,-58%
2004-12-26 - 2005-01-01,-19%,-39%
2005-01-02 - 2005-01-08,-9%,+18%
2005-01-09 - 2005-01-15,-1%,-26%
2005-01-16 - 2005-01-22,+1%,-16%
2005-01-23 - 2005-01-29,-2%,-11%
2005-01-30 - 2005-02-05,+0%,-8%
2005-02-06 - 2005-02-12,+5%,+13%
2005-02-13 - 2005-02-19,+8%,+3%
2005-02-20 - 2005-02-26,+8%,+58%
2005-02-27 - 2005-03-05,+8%,+32%
2005-03-06 - 2005-03-12,+9%,+34%
2005-03-13 - 2005-03-19,+12%,+50%
2005-03-20 - 2005-03-26,+5%,+16%
2005-03-27 - 2005-04-02,+5%,+18%
2005-04-03 - 2005-04-09,+8%,+24%
2005-04-10 - 2005-04-16,+7%,+8%
2005-04-17 - 2005-04-23,+9%,+18%
2005-04-24 - 2005-04-30,+13%,+42%
2005-05-01 - 2005-05-07,+13%,+47%
2005-05-08 - 2005-05-14,+13%,+68%
2005-05-15 - 2005-05-21,+16%,+79%
2005-05-22 - 2005-05-28,+16%,+84%
2005-05-29 - 2005-06-04,+13%,+100%
2005-06-05 - 2005-06-11,+8%,+45%
2005-06-12 - 2005-06-18,+6%,+42%
2005-06-19 - 2005-06-25,+5%,+18%
2005-06-26 - 2005-07-02,-1%,+21%
2005-07-03 - 2005-07-09,-4%,-13%
2005-07-10 - 2005-07-16,+1%,-3%
2005-07-17 - 2005-07-23,+4%,+21%
2005-07-24 - 2005-07-30,+7%,+21%
2005-07-31 - 2005-08-06,+5%,+39%
2005-08-07 - 2005-08-13,+8%,+50%
2005-08-14 - 2005-08-20,+11%,+53%
2005-08-21 - 2005-08-27,+13%,+50%
2005-08-28 - 2005-09-03,+7%,+84%
2005-09-04 - 2005-09-10,+6%,+55%
2005-09-11 - 2005-09-17,+6%,+42%
2005-09-18 - 2005-09-24,+5%,+29%
2005-09-25 - 2005-10-01,+2%,+8%
2005-10-02 - 2005-10-08,+6%,+5%
2005-10-09 - 2005-10-15,+11%,+32%
2005-10-16 - 2005-10-22,+13%,+55%
2005-10-23 - 2005-10-29,+9%,+42%
2005-10-30 - 2005-11-05,+4%,+18%
2005-11-06 - 2005-11-12,+2%,+45%
2005-11-13 - 2005-11-19,-1%,+16%
2005-11-20 - 2005-11-26,-1%,+5%
2005-11-27 - 2005-12-03,-5%,-5%
2005-12-04 - 2005-12-10,-11%,-5%
2005-12-11 - 2005-12-17,-12%,-47%
2005-12-18 - 2005-12-24,-18%,-39%
2005-12-25 - 2005-12-31,-22%,-37%
2006-01-01 - 2006-01-07,-13%,+18%
2006-01-08 - 2006-01-14,-7%,-18%
2006-01-15 - 2006-01-21,-6%,-29%
2006-01-22 - 2006-01-28,-9%,-29%
2006-01-29 - 2006-02-04,-5%,-18%
2006-02-05 - 2006-02-11,-1%,-5%
2006-02-12 - 2006-02-18,-2%,+3%
2006-02-19 - 2006-02-25,+2%,+18%
2006-02-26 - 2006-03-04,+5%,+47%
2006-03-05 - 2006-03-11,+7%,+21%
2006-03-12 - 2006-03-18,+6%,+16%
2006-03-19 - 2006-03-25,+2%,+24%
2006-03-26 - 2006-04-01,+5%,+37%
2006-04-02 - 2006-04-08,+4%,+5%
2006-04-09 - 2006-04-15,-2%,+11%
2006-04-16 - 2006-04-22,-2%,-13%
2006-04-23 - 2006-04-29,-1%,+5%
2006-04-30 - 2006-05-06,+8%,+26%
2006-05-07 - 2006-05-13,+7%,+29%
2006-05-14 - 2006-05-20,+11%,+53%
2006-05-21 - 2006-05-27,+9%,+71%
2006-05-28 - 2006-06-03,+6%,+89%
2006-06-04 - 2006-06-10,+5%,+55%
2006-06-11 - 2006-06-17,-5%,+21%
2006-06-18 - 2006-06-24,-4%,+34%
2006-06-25 - 2006-07-01,-7%,+11%
2006-07-02 - 2006-07-08,-6%,+21%
2006-07-09 - 2006-07-15,-5%,+11%
2006-07-16 - 2006-07-22,+0%,-5%
2006-07-23 - 2006-07-29,+2%,+47%
2006-07-30 - 2006-08-05,+6%,+32%
2006-08-06 - 2006-08-12,+5%,+29%
2006-08-13 - 2006-08-19,+8%,+34%
2006-08-20 - 2006-08-26,+5%,+29%
2006-08-27 - 2006-09-02,+5%,+29%
2006-09-03 - 2006-09-09,+4%,+26%
2006-09-10 - 2006-09-16,+4%,+29%
2006-09-17 - 2006-09-23,+2%,+21%
2006-09-24 - 2006-09-30,+1%,+0%
2006-10-01 - 2006-10-07,+1%,-8%
2006-10-08 - 2006-10-14,+1%,-11%
2006-10-15 - 2006-10-21,+5%,-8%
2006-10-22 - 2006-10-28,+4%,+11%
2006-10-29 - 2006-11-04,+2%,+13%
2006-11-05 - 2006-11-11,-2%,+8%
2006-11-12 - 2006-11-18,+1%,-3%
2006-11-19 - 2006-11-25,-5%,-13%
2006-11-26 - 2006-12-02,-5%,-13%
2006-12-03 - 2006-12-09,-12%,-42%
2006-12-10 - 2006-12-16,-12%,-39%
2006-12-17 - 2006-12-23,-16%,-63%
2006-12-24 - 2006-12-30,-27%,-47%
2006-12-31 - 2007-01-06,-18%,-21%
2007-01-07 - 2007-01-13,-11%,-29%
2007-01-14 - 2007-01-20,-11%,-37%
2007-01-21 - 2007-01-27,-12%,-45%
2007-01-28 - 2007-02-03,-5%,-37%
2007-02-04 - 2007-02-10,-4%,-24%
2007-02-11 - 2007-02-17,-2%,-24%
2007-02-18 - 2007-02-24,+1%,-13%
2007-02-25 - 2007-03-03,+2%,-5%
2007-03-04 - 2007-03-10,+5%,-5%
2007-03-11 - 2007-03-17,+2%,+3%
2007-03-18 - 2007-03-24,+2%,+11%
2007-03-25 - 2007-03-31,+5%,+11%
2007-04-01 - 2007-04-07,-8%,-16%
2007-04-08 - 2007-04-14,-5%,-11%
2007-04-15 - 2007-04-21,+0%,-3%
2007-04-22 - 2007-04-28,-4%,-16%
2007-04-29 - 2007-05-05,+5%,+8%
2007-05-06 - 2007-05-12,+5%,+18%
2007-05-13 - 2007-05-19,+5%,+3%
2007-05-20 - 2007-05-26,+7%,+11%
2007-05-27 - 2007-06-02,+6%,+47%
2007-06-03 - 2007-06-09,+1%,+8%
2007-06-10 - 2007-06-16,-1%,+11%
2007-06-17 - 2007-06-23,-2%,-13%
2007-06-24 - 2007-06-30,-9%,-5%
2007-07-01 - 2007-07-07,-9%,-13%
2007-07-08 - 2007-07-14,-9%,-21%
2007-07-15 - 2007-07-21,-6%,-24%
2007-07-22 - 2007-07-28,-2%,-16%
2007-07-29 - 2007-08-04,-4%,-18%
2007-08-05 - 2007-08-11,-1%,+5%
2007-08-12 - 2007-08-18,-2%,+13%
2007-08-19 - 2007-08-25,+6%,+13%
2007-08-26 - 2007-09-01,+2%,+26%
2007-09-02 - 2007-09-08,+0%,+37%
2007-09-09 - 2007-09-15,+2%,+16%
2007-09-16 - 2007-09-22,-1%,-3%
2007-09-23 - 2007-09-29,-2%,-18%
2007-09-30 - 2007-10-06,-7%,-29%
2007-10-07 - 2007-10-13,-2%,-16%
2007-10-14 - 2007-10-20,+2%,+5%
2007-10-21 - 2007-10-27,-1%,+11%
2007-10-28 - 2007-11-03,-2%,+13%
2007-11-04 - 2007-11-10,-2%,+16%
2007-11-11 - 2007-11-17,-2%,+5%
2007-11-18 - 2007-11-24,-4%,-3%
2007-11-25 - 2007-12-01,-5%,-13%
2007-12-02 - 2007-12-08,-9%,-32%
2007-12-09 - 2007-12-15,-15%,-42%
2007-12-16 - 2007-12-22,-18%,-34%
2007-12-23 - 2007-12-29,-31%,-61%
2007-12-30 - 2008-01-05,-18%,-18%
2008-01-06 - 2008-01-12,-12%,-24%
2008-01-13 - 2008-01-19,-12%,-29%
2008-01-20 - 2008-01-26,-12%,-37%
2008-01-27 - 2008-02-02,-8%,-32%
2008-02-03 - 2008-02-09,-8%,-32%
2008-02-10 - 2008-02-16,-6%,-29%
2008-02-17 - 2008-02-23,-1%,-24%
2008-02-24 - 2008-03-01,-2%,-5%
2008-03-02 - 2008-03-08,+2%,+3%
2008-03-09 - 2008-03-15,+6%,+0%
2008-03-16 - 2008-03-22,-4%,-8%
